image_filename,x0,y0,x1,y1,label,confidence
0.jpg,331.377777778,152.252964427,777.955555556,498.023715415,car,1.0
1.jpg,1201.77777778,212.015810277,1280.0,274.624505929,car,1.0
1.jpg,1009.77777778,246.166007905,1088.0,313.043478261,car,1.0
1.jpg,698.311111111,264.664031621,745.244444444,303.083003953,car,1.0
2.jpg,584.533333333,384.18972332,601.6,398.418972332,car,1.0
2.jpg,622.933333333,387.035573123,638.577777778,401.264822134,car,1.0
2.jpg,659.911111111,388.458498024,682.666666667,405.533596838,car,1.0
2.jpg,704.0,387.035573123,743.822222222,418.339920949,car,1.0
2.jpg,567.466666667,385.612648221,580.266666667,396.996047431,car,1.0
3.jpg,645.688888889,463.873517787,709.688888889,507.984189723,car,1.0
3.jpg,612.977777778,442.529644269,676.977777778,495.177865613,car,1.0
3.jpg,523.377777778,466.719367589,540.444444444,479.5256917,car,1.0
4.jpg,497.777777778,367.114624506,935.822222222,694.387351779,car,1.0
4.jpg,1056.71111111,389.881422925,1278.57777778,572.015810277,car,1.0
5.jpg,785.066666667,422.608695652,890.311111111,516.52173913,car,1.0
5.jpg,719.644444444,415.494071146,789.333333333,479.5256917,car,1.0
5.jpg,595.911111111,377.075098814,617.244444444,394.150197628,car,1.0
6.jpg,4.26666666667,247.588932806,221.866666667,399.841897233,pickup_truck,1.0
6.jpg,453.688888889,231.936758893,531.911111111,331.541501976,bus,1.0
6.jpg,553.244444444,251.85770751,610.133333333,332.964426877,bus,1.0
7.jpg,594.488888889,408.37944664,644.266666667,449.644268775,car,1.0
8.jpg,547.555555556,345.770750988,654.222222222,462.450592885,bus,1.0
8.jpg,523.377777778,401.264822134,664.177777778,515.098814229,car,1.0
8.jpg,355.555555556,398.418972332,465.066666667,499.446640316,car,1.0
8.jpg,473.6,412.648221344,523.377777778,453.913043478,car,1.0
9.jpg,590.222222222,351.462450593,630.044444444,387.035573123,car,1.0
9.jpg,554.666666667,369.960474308,631.466666667,425.454545455,car,1.0
9.jpg,537.6,355.731225296,570.311111111,381.343873518,car,1.0
9.jpg,477.866666667,348.616600791,516.266666667,379.920948617,car,1.0
9.jpg,425.244444444,348.616600791,472.177777778,384.18972332,car,1.0
